region,year,scenario,tau,plan_id,premium_obs,premium_cf,premium_change,share_obs,share_cf,mc,claims,commission_pmpm,markup_cf,nleqslv_termcd,nleqslv_iter,comm_scale_cf,base_premium_cf
1,2014,aligned,NA,ANT_BR,233.61,253.552850870027,19.9428508700271,0.0623254051188085,0.0417438286173386,266.38234192271,142.75938913852,12.238068986715,-12.8294910526826,1,0,NA,259.165184121359
1,2014,aligned,NA,ANT_BR_HSA,235.19,266.299302913334,31.1093029133335,0.0611444045842957,0.0347338762218726,293.102983653731,151.645490723384,12.1162162001809,-26.8036807403975,1,0,NA,272.202286611394
1,2014,aligned,NA,ANT_G,375.66,312.915594985232,-62.7444050147681,0.0353589434562962,0.094392325415991,324.544407568321,433.065694432391,8.29116598038764,-11.6288125830889,1,0,NA,314.121271963156
1,2014,aligned,NA,ANT_P,435.62,516.175678293978,80.5556782939781,0.0299731449084977,0.00682642890558152,272.230499002719,1325.75359234242,6.51932374881623,243.945179291259,1,0,NA,513.958668051004
1,2014,aligned,NA,ANT_SIL,312.48,314.417541202368,1.9375412023681,0.0970691628882671,0.0725976331367782,345.223310759379,401.720131337742,25.2345421005592,-30.8057695570108,1,0,NA,317.588473439837
1,2014,aligned,NA,BS_BR,265.65,273.253225242648,7.60322524264757,0.0551824287673095,0.0422159448394742,270.294425259049,147.439816599723,11.5510154203601,2.95879998359868,1,0,NA,264.602566818961
1,2014,aligned,NA,BS_BR_HSA,261.29,276.977365325756,15.6873653257556,0.0584705723069749,0.0399947812946867,277.492439503548,143.576900358526,12.0163531220854,-0.515074177792656,1,0,NA,268.264204213738
1,2014,aligned,NA,BS_G,378.69,351.865741499844,-26.8242585001563,0.0445215232260761,0.0581476315218205,340.816547392671,484.358841999046,10.0661308511529,11.0491941071728,1,0,NA,333.915129887616
1,2014,aligned,NA,BS_P,433.92,500.875542759249,66.9555427592489,0.0408841228832475,0.0116545915815215,353.10446538289,1286.23920525561,9.04747843034152,147.771077376359,1,0,NA,469.401556058412
1,2014,aligned,NA,BS_SIL,321.59,314.752697797283,-6.83730220271656,0.103549103201179,0.0969465155546569,295.512012346424,377.736710203562,26.1028803046357,19.240685450859502,1,0,NA,300.080434174443
1,2014,aligned,NA,KA_BR,257.35,264.083181442781,6.73318144278051,0.0418156728401946,0.0338025783180591,271.912107620867,156.100883440192,9.82651434182987,-7.8289261780867,1,0,NA,255.920553255559
1,2014,aligned,NA,KA_G,425.63,335.769157191463,-89.8608428085366,0.0132590160313963,0.0518979824032279,381.431955117273,382.426159910352,0,-45.6627979258096,1,0,NA,321.037752128927
1,2014,aligned,NA,KA_P,457.77,394.127139525749,-63.6428604742506,0.0181405029776365,0.0451346734088898,454.260051367693,423.773872222665,2.6577774296082,-60.1329118419438,1,0,NA,375.148408138997
1,2014,aligned,NA,KA_SIL,350.1,313.340703205303,-36.7592967946973,0.03521495920668,0.0720451870849962,346.108712633237,438.915789540539,19.1618874277696,-32.7680094279347,1,0,NA,301.523618906765
2,2014,aligned,NA,ANT_BR,258.72,280.806444831529,22.0864448315287,0.053656060496404,0.0365553182130556,275.109157260382,122.444587781413,14.1287976255623,5.69728757114677,1,0,NA,259.165184121359
2,2014,aligned,NA,ANT_BR_HSA,260.48,294.934488808475,34.4544888084745,0.0525989662999416,0.029641954105732,296.069971111414,130.600779064169,14.061326388416,-1.13548230293981,1,0,NA,272.202286611394
2,2014,aligned,NA,ANT_G,416.05,346.559477435995,-69.4905225640054,0.022555488306769,0.066479711136989,309.167231383411,362.765001279169,10.7659472663923,37.3922460525842,1,0,NA,314.121271963156
2,2014,aligned,NA,ANT_P,482.46,571.677420113201,89.2174201132012,0.0170936983085946,0.00421310888998955,108.094129341458,1198.29566922263,9.25596767910307,463.583290771743,1,0,NA,513.958668051004
2,2014,aligned,NA,ANT_SIL,346.1,348.246002976637,2.14600297663719,0.0687353449090272,0.0489097649482077,319.609477634765,331.7697139768,19.4060890183246,28.6365253418727,1,0,NA,317.588473439837
2,2014,aligned,NA,BS_BR,282.05,290.122613136415,8.07261313641544,0.0541235425591162,0.0431517135226636,278.695435042627,124.598724569169,14.2583339310757,11.4271780937888,1,0,NA,264.602566818961
2,2014,aligned,NA,BS_BR_HSA,277.41,294.0651801256,16.6551801255994,0.0574046178736198,0.0407072477695583,284.26418815204,121.42113068976,14.4900843373438,9.80099197355923,1,0,NA,268.264204213738
2,2014,aligned,NA,BS_G,402.06,373.580342832996,-28.4796571670042,0.0388842129746853,0.0526935832743506,317.059306529897,405.489258555592,13.0584209760484,56.5210363030988,1,0,NA,333.915129887616
2,2014,aligned,NA,BS_P,460.71,531.799343898907,71.0893438989065,0.0330473834044724,0.00940191355681461,213.502214141663,1126.30091536063,12.1776827055648,318.297129757244,1,0,NA,469.401556058412
2,2014,aligned,NA,BS_SIL,341.44,334.180668353818,-7.25933164618158,0.102012317801961,0.090888095009581,288.926558806963,306.866671704537,20.9193010074018,45.2541095468552,1,0,NA,300.080434174443
2,2014,aligned,NA,HN_BR,282.89,318.491605907552,35.6016059075521,0.0320096064164342,0.0162566859286647,308.575592078793,109.216351278948,12.1774909337096,9.91601382875916,1,0,NA,281.653622096533
2,2014,aligned,NA,HN_G,488.35,467.210153350054,-21.1398466499463,0.0059495382111462,0.00640854073706272,483.071539066648,500.589785396819,4.03014741327287,-15.8613857165938,1,0,NA,447.459440833904
2,2014,aligned,NA,HN_P,585.84,585.84,0,0.00330775842682202,0.00264024056594346,623.259506393217,1105.83172393738,0,-37.4195063932167,1,0,NA,557.536892754071
2,2014,aligned,NA,HN_SIL,408.76,373.601735307239,-35.1582646927614,0.0147816968339602,0.022401305428641,393.821086830396,374.11045226655,13.7111547480062,-20.2193515231571,1,0,NA,358.406457930586
2,2014,aligned,NA,KA_BR,270.89,277.977435480998,7.0874354809979,0.0427260882964753,0.0363436269722091,282.2917194232,131.200879804647,13.4609869681522,-4.31428394220188,1,0,NA,255.920553255559
2,2014,aligned,NA,KA_G,448.04,353.447861259928,-94.5921387400717,0.0120359393059222,0.0543404382369033,378.630458838059,318.341542880656,8.00349513335612,-25.1825975781309,1,0,NA,321.037752128927
2,2014,aligned,NA,KA_P,481.86,414.867954326141,-66.9920456738589,0.0156621103525283,0.0428930799338303,448.583244608548,353.832250370658,9.1335536690974,-33.7152902824073,1,0,NA,375.148408138997
2,2014,aligned,NA,KA_SIL,368.53,329.835616544559,-38.6943834554408,0.0365972829722,0.0705457865816998,331.580620403827,355.310422476202,17.5130857558261,-1.74500385926734,1,0,NA,301.523618906765
2,2014,aligned,NA,WEST_BR,256.84,288.028982216937,31.188982216937,0.0117009944273683,0.00727648867944793,309.346411998039,120.013478168819,8.51458620749046,-21.3174297811021,1,0,NA,303.213188688098
2,2014,aligned,NA,WEST_BR_HSA,265.43,296.575819036179,31.1458190361794,0.0106172898738298,0.00638960968400605,320.086801101824,120.880155352652,8.18107376043766,-23.5109820656441,1,0,NA,311.944516655795
2,2014,aligned,NA,WEST_G,434.11,434.11,1.13686837721616e-13,0.00349821263816301,0.00294095075478592,372.251318426143,397.715723858425,3.62015124882681,61.8586815738569,1,0,NA,452.147183018712
2,2014,aligned,NA,WEST_P,471,471,0,0.00437618685147581,0.00361443922262254,415.651048005561,983.106856311961,4.50178432442921,55.3489519944395,1,0,NA,489.788695341133
2,2014,aligned,NA,WEST_SIL,373.01,373.01,5.6843418860808e-14,0.007615480083273,0.00637393414759802,325.880229771316,399.330286405948,11.656806555541,47.1297702286846,1,0,NA,387.281476357745
3,2014,aligned,NA,ANT_BR,250.45,271.830450324893,21.3804503248932,0.0584363980549624,0.0363473563829579,255.455740187797,118.5093809221,13.1612344184048,16.3747101370967,1,0,NA,259.165184121359
3,2014,aligned,NA,ANT_BR_HSA,252.15,285.502654150249,33.3526541502489,0.057298273998989,0.0296630459205818,277.011615666668,125.960427714041,13.1256768446682,8.49103848358112,1,0,NA,272.202286611394
3,2014,aligned,NA,ANT_G,402.75,335.480902625518,-67.2690973744818,0.0265915362503614,0.0752484370510782,285.467891688526,358.834988737401,11.552461948112,50.0130109369921,1,0,NA,314.121271963156
3,2014,aligned,NA,ANT_G3,601.41,413.777616183126,-187.632383816874,9.615824184693e-4,0.00870633028227412,113.85024151577,328.097566646807,1.65542959813956,299.927374667356,1,0,NA,240.048302926568
3,2014,aligned,NA,ANT_P,467.03,553.394075188551,86.3640751885509,0.0207236273942873,0.00423578428524555,109.417705452419,1118.84226882855,10.8574590846063,443.976369736132,1,0,NA,513.958668051004
