"term","premium","silver","bronze","hmo","hsa","Anthem","Blue_Shield","Kaiser","Health_Net","hh_size_prem","perc_0to17_prem","perc_18to34_prem","perc_35to54_prem","perc_male_prem","perc_black_prem","perc_hispanic_prem","perc_asian_prem","perc_other_prem","FPL_250to400_prem","FPL_400plus_prem","perc_0to17_silver","perc_0to17_bronze","perc_18to34_silver","perc_18to34_bronze","perc_35to54_silver","perc_35to54_bronze","perc_male_silver","perc_male_bronze","assisted_silver","assisted_bronze","broker_silver","broker_bronze","assisted_premium","broker_premium","nav_dominated","broker_dominated","commission_broker","lambda"
"perc_hispanic_prem",1.73698679965152e-06,-3.23976389124583e-06,1.2074478501085e-05,3.83619291057118e-06,3.44088289973684e-06,1.67569166318817e-06,1.0939059016124e-06,-1.25434977956251e-06,1.5422801375024e-06,1.36800207070541e-07,-1.35358098761116e-06,-6.95496610075388e-07,-4.8391150648901e-07,7.27018281987575e-08,3.35610688424286e-06,1.04302703682151e-05,4.1466204071551e-06,4.10563997610213e-06,-9.01088608356703e-07,-2.41066675174412e-06,4.70193964292543e-06,-6.77124545389493e-06,-4.3645031041179e-07,-4.35576563471697e-06,1.97286218493863e-07,-1.09729827887672e-06,5.03243170634991e-07,-7.17403914178339e-07,-3.97350564982478e-06,-9.41341622435499e-06,-4.35314909102528e-06,-1.02188463161549e-05,-3.25235946875305e-06,-2.7780686661168e-06,1.05389851017738e-06,2.01421977372972e-06,7.06026924370604e-08,-2.88347671357761e-06
"perc_asian_prem",1.92272458743515e-06,-2.42169251060629e-06,9.76080894842289e-06,2.8039120163645e-06,2.7356884664503e-06,1.07587694971112e-06,7.01437863654971e-07,-1.08925818683376e-06,9.67583906095036e-07,-2.46059110485985e-07,-1.25795544496305e-07,-1.01846476070903e-06,-8.74615308136113e-07,1.69298342621518e-07,2.99990506474116e-06,4.14662040715509e-06,1.28790365585573e-05,4.03462768280184e-06,-9.19633176493703e-07,-2.11517376099506e-06,3.44318491386894e-06,-6.07352483078926e-06,-4.47858998647871e-07,-4.06624272246888e-06,5.07883972074284e-08,-1.47321185975709e-06,4.57085594770538e-07,-4.07188095879382e-07,-2.65167707696591e-06,-7.44985380589395e-06,-3.18633056664288e-06,-7.59604122651523e-06,-2.61680539536312e-06,-3.51223125007471e-06,1.54288319215423e-06,8.38088606816481e-07,5.14233264912788e-08,-2.14943631890406e-06
"perc_other_prem",1.31486254862866e-06,-3.0241003220086e-06,1.08963866972507e-05,3.55844111958787e-06,3.17122317120101e-06,1.67348131166386e-06,1.27651579444818e-06,-1.09520419763082e-06,1.48850857506407e-06,3.8478737522681e-07,-1.60315548672222e-06,-1.8279947079806e-07,-2.39808890967863e-07,4.35371763345292e-08,3.07743421390145e-06,4.10563997610212e-06,4.03462768280185e-06,7.53853731763475e-06,-1.17825155705533e-06,-2.79381132722041e-06,4.29953267657532e-06,-5.88099580094126e-06,-5.29890701355009e-07,-3.76152059055725e-06,1.46726819316309e-07,-9.55853025623642e-07,5.26260291604954e-07,-5.20296145920379e-07,-3.71699906255255e-06,-9.26667309999828e-06,-4.07711076531936e-06,-9.46472072857538e-06,-2.6428575911613e-06,-3.34038923970708e-06,1.45875696639553e-06,1.73472975841877e-06,6.04428303327067e-08,-2.7157587843799e-06
"FPL_250to400_prem",-6.10434909583177e-06,1.01140918335008e-06,-1.38650623077776e-05,-4.303590959222e-06,-3.62181780086442e-06,-1.54286803810239e-06,-1.14574829126649e-06,1.81368198732392e-06,-1.33904591044012e-06,-7.06793799792246e-07,-2.05734505393872e-06,4.81664901639037e-08,-4.31243988718494e-08,-1.28899852101328e-07,-4.92372200621805e-08,-9.01088608356702e-07,-9.19633176493709e-07,-1.17825155705534e-06,7.07703304200931e-06,6.59781296903328e-06,-3.51224476443061e-06,1.04270185136351e-05,2.046491465751e-06,4.80842070878979e-06,9.02921074893521e-07,1.29781468877238e-06,-6.54126775639727e-07,5.84912014380546e-07,4.05332275256386e-06,9.23778406799365e-06,4.58189284837979e-06,9.23608985369658e-06,3.05879170263507e-06,2.49749592300796e-06,-2.25410202692437e-06,-2.65104377318967e-06,-5.69719158258511e-08,3.28612863998574e-06
"FPL_400plus_prem",-1.32252400259916e-05,7.30677151050802e-06,-3.26198846435964e-05,-1.08343131594928e-05,-9.10208536502122e-06,-4.44802831710804e-06,-3.46300977311035e-06,3.85970961008124e-06,-3.96475072386101e-06,-1.57781427405956e-06,-3.11829405116053e-07,-1.99497423410852e-07,-7.08115079515548e-07,-5.57419952585884e-07,-1.30291514507051e-07,-2.4106667517441e-06,-2.11517376099506e-06,-2.79381132722042e-06,6.59781296903329e-06,2.07300454324881e-05,-1.15587228084579e-05,1.84091378641075e-05,2.47761737235163e-06,1.09669299346164e-05,3.9285247205116e-07,2.17336733151696e-06,-1.41100561466379e-06,1.31953375578564e-06,9.83536920149823e-06,2.56464255560815e-05,1.10522998082229e-05,2.57489191018479e-05,8.47716636231207e-06,7.72675422975838e-06,-4.93710341514629e-06,-6.3053293566668e-06,-1.62350154366822e-07,8.22702222750801e-06
"perc_0to17_silver",1.39920765625714e-05,-2.84856975162638e-05,2.53701066628328e-05,1.37031672189572e-05,1.10821872043229e-05,7.97776502058148e-06,7.22851092577877e-06,-2.7934084596196e-06,6.9885774906569e-06,-7.43973370782345e-07,-1.11349508293286e-05,1.6567327178384e-06,2.6913205331397e-06,3.6609305523178e-07,1.00426143564912e-06,4.70193964292541e-06,3.44318491386896e-06,4.29953267657534e-06,-3.51224476443062e-06,-1.15587228084579e-05,0.000370340484879168,0.000199342601377346,1.0272767662468e-05,-1.76489703729405e-06,7.00668551073805e-06,6.68287847980857e-06,1.3825000224236e-06,-2.63248244188974e-06,-5.94560733938607e-06,-2.94042191838329e-05,-1.08129723111911e-05,-3.30758818955801e-05,-8.77592518476133e-06,-7.61770078724103e-06,1.10203676213943e-06,-1.41286972947623e-06,2.83916560960373e-07,-9.92707780823301e-06
"perc_0to17_bronze",-1.64818196045344e-05,1.30714404791306e-06,-6.28360091056698e-05,-1.60576208002225e-05,-1.1276220180591e-05,-5.29044816253595e-06,-5.08413009129712e-06,6.25631631358769e-06,-7.23359192877026e-06,-4.38056240724476e-06,5.62777187675967e-05,2.2273583940563e-06,1.15347875327539e-06,-5.77208974341816e-07,-2.86594894784044e-06,-6.77124545389488e-06,-6.07352483078924e-06,-5.88099580094126e-06,1.04270185136351e-05,1.84091378641076e-05,0.000199342601377346,0.000426542717732482,1.14961506720629e-05,3.21359911971173e-05,7.43416045341555e-06,1.78412403344936e-05,-3.02636310783714e-06,-2.39553212233708e-07,9.07982324742885e-06,2.63100520248018e-05,8.73575737067484e-06,2.5706418196187e-05,1.29067838118205e-05,1.22237004128355e-05,-1.82651385388222e-05,-2.34133648833249e-05,-1.9447236350608e-07,1.20540147276032e-05
"perc_18to34_silver",-1.78616563062054e-06,-1.27681452222491e-05,-1.54625793759868e-05,-2.65260526291907e-06,-2.24325302809258e-06,-1.18706066103364e-06,-1.03373208020939e-06,5.38617532018903e-07,-1.11224124306446e-06,-5.92458525592805e-07,1.55546166491823e-07,-4.37818392292323e-06,-1.28215765698398e-06,3.03363985207331e-07,-1.248652532838e-07,-4.36450310411789e-07,-4.47858998647869e-07,-5.29890701355011e-07,2.04649146575099e-06,2.47761737235163e-06,1.0272767662468e-05,1.1496150672063e-05,2.96670174803584e-05,1.74270942689297e-05,1.45096708218975e-05,8.11325315054018e-06,-2.40955565797038e-06,-6.60659567621227e-07,8.31545852409909e-06,1.0979000469674e-05,8.90255769246679e-06,1.15651684532171e-05,1.31338182733056e-06,1.29979017495094e-06,-6.11674575592134e-08,4.67716426042998e-07,-1.14073477421861e-07,2.04603230058275e-06
"perc_18to34_bronze",-1.1268763764351e-05,-1.62684944136937e-06,-4.42682568309469e-05,-8.77508378895115e-06,-7.61451244937383e-06,-3.60838438509147e-06,-2.92201584575419e-06,3.21596232957842e-06,-3.50614090342523e-06,-1.49056701516343e-06,4.64870237275198e-06,5.50151219804532e-06,1.96541137154303e-06,-7.59342960585686e-07,-1.70132314049298e-06,-4.35576563471695e-06,-4.06624272246889e-06,-3.76152059055726e-06,4.80842070878976e-06,1.09669299346164e-05,-1.76489703729408e-06,3.21359911971172e-05,1.74270942689296e-05,4.4402788669254e-05,8.59029352916724e-06,2.02891878958265e-05,-2.16093108260545e-06,-1.32335517390787e-06,1.0045014360658e-05,2.40158930763481e-05,1.10755310762378e-05,2.42841073285916e-05,7.60206824927321e-06,7.36346383902083e-06,-5.21439306572676e-06,-6.00774190760685e-06,-1.48904808558221e-07,6.80353306983597e-06
"perc_35to54_silver",-4.02456942682384e-07,-1.31483106940793e-05,-1.04321048283534e-05,-9.18593190455037e-07,-7.85971411272516e-07,-3.98616801009228e-07,-3.35170560328985e-07,1.89316044940226e-07,-2.57665731794492e-07,4.74273305222912e-08,-8.92780749570322e-07,-1.09693902089604e-06,-2.60932628215567e-06,1.70921208560412e-07,1.51887642384747e-07,1.97286218493871e-07,5.07883972074426e-08,1.46726819316316e-07,9.02921074893506e-07,3.92852472051119e-07,7.00668551073812e-06,7.43416045341559e-06,1.45096708218975e-05,8.59029352916721e-06,2.53969971852125e-05,1.25479639622972e-05,-1.9548330987621e-06,-7.91217356549854e-07,3.54384990122449e-06,4.64894470424305e-06,3.60328555305022e-06,4.84015962985872e-06,-1.00503160232601e-07,1.99101091785392e-08,7.78884831027786e-07,7.28882925282009e-07,-6.40738606152172e-08,7.53089303760821e-07
