"parameter","col1","col2","col3","col4"
"mean_own_price_elasticity",-0.752554379397803,-0.817886382049582,-0.784455590404281,-0.778050887409824
"mean_price_coefficient",-0.365764818293355,-0.565255148245344,-0.889256297396327,-0.877787265053608
"lambda",0.375931864084655,0.448984418525421,0.673856236211299,0.668036487707319
"navigator_silver_pp",NA,NA,7.53684978486953,7.6097901232098
"broker_silver_pp",NA,NA,7.08635463095257,7.1345535535959
"assisted_silver_logodds",NA,NA,1.38141981737896,1.37128316092551
"broker_silver_logodds",NA,NA,1.42675836258229,1.41499342294903
"commission_broker",NA,NA,0.0206425824386221,0.0212599367499365
