plan_id,region,year,tot_nonmiss,obs_purchase,pred_purchase
ANT_BR_HSA,2,2014,2263,27,86.4905463089393
ANT_G,2,2014,2263,34,34.8409266627121
ANT_P,2,2014,2263,7,10.5202937555858
ANT_SIL,2,2014,2263,427,308.725906890262
BS_BR,2,2014,2263,40,148.166826512965
BS_BR_HSA,2,2014,2263,8,80.6154956131512
BS_G,2,2014,2263,34,52.0476203899129
BS_P,2,2014,2263,9,17.8265268271773
BS_SIL,2,2014,2263,356,389.567955639651
HN_BR,2,2014,2263,32,103.743575184807
HN_G,2,2014,2263,7,7.73969312769238
HN_P,2,2014,2263,3,1.48361109921586
HN_SIL,2,2014,2263,60,76.4412214455782
KA_BR,2,2014,2263,223,238.517081299741
KA_G,2,2014,2263,36,31.1858286391988
KA_P,2,2014,2263,53,17.0664037932994
KA_SIL,2,2014,2263,613,321.227524872022
Small_BR,2,2014,2263,91,47.5467921201674
Small_G,2,2014,2263,2,13.1612457370427
Small_P,2,2014,2263,5,6.77859964921652
Small_SIL,2,2014,2263,31,96.6544582381587
ANT_BR,2,2015,2685,178,183.618474824107
ANT_BR_HSA,2,2015,2685,19,91.6302189143951
ANT_G,2,2015,2685,22,23.3040709345755
ANT_P,2,2015,2685,14,5.71777778330935
ANT_SIL,2,2015,2685,273,267.236416352395
BS_BR,2,2015,2685,55,177.51251663761
BS_BR_HSA,2,2015,2685,19,97.2337639334434
BS_G,2,2015,2685,20,53.7732936337042
BS_P,2,2015,2685,14,17.4285871662251
BS_SIL,2,2015,2685,452,428.199833741839
HN_BR,2,2015,2685,11,111.044332773602
HN_G,2,2015,2685,0,7.38140924440226
HN_P,2,2015,2685,2,1.30416920281802
HN_SIL,2,2015,2685,12,78.4195704827164
KA_BR,2,2015,2685,432,317.261591417178
KA_G,2,2015,2685,49,43.9661406868204
KA_P,2,2015,2685,78,25.178569889325
KA_SIL,2,2015,2685,823,465.072876835345
Small_BR,2,2015,2685,114,62.5286584150547
Small_G,2,2015,2685,0,21.137729524003
Small_P,2,2015,2685,6,10.8506557756491
Small_SIL,2,2015,2685,92,195.199341831485
ANT_BR,2,2016,1806,85,116.675257744697
ANT_BR_HSA,2,2016,1806,68,76.4458458061767
ANT_G,2,2016,1806,7,9.42496061697977
ANT_P,2,2016,1806,4,2.1315318580224
ANT_SIL,2,2016,1806,65,153.542074723468
BS_BR,2,2016,1806,27,80.8696369523234
BS_BR_HSA,2,2016,1806,7,39.4943936083517
BS_G,2,2016,1806,15,12.6508881667795
BS_P,2,2016,1806,5,1.22286883252102
BS_SIL,2,2016,1806,296,208.283225292912
HN_BR,2,2016,1806,2,85.8193039408482
HN_G,2,2016,1806,0,7.71417424171213
HN_P,2,2016,1806,1,1.67086040946452
HN_SIL,2,2016,1806,4,122.342864029649
KA_BR,2,2016,1806,247,195.627802191068
KA_BR_HSA,2,2016,1806,69,109.959748322184
KA_G,2,2016,1806,40,32.1972086258845
KA_P,2,2016,1806,40,16.092714927273
KA_SIL,2,2016,1806,589,307.748961235037
Small_BR,2,2016,1806,70,39.9949734811044
Small_G,2,2016,1806,5,16.8966424371559
Small_P,2,2016,1806,9,8.51608324102747
Small_SIL,2,2016,1806,151,160.677979315359
ANT_BR,2,2017,1418,20,66.0139546192992
ANT_BR_HSA,2,2017,1418,7,38.0364312671968
ANT_G,2,2017,1418,0,1.06970954130632
ANT_P,2,2017,1418,0,0.150046591680942
ANT_SIL,2,2017,1418,12,26.7688863370483
BS_BR,2,2017,1418,18,45.2863649370627
BS_BR_HSA,2,2017,1418,16,29.3378273498801
BS_G,2,2017,1418,12,4.77122362450789
BS_G3,2,2017,1418,0,1.05512801415231
BS_P,2,2017,1418,3,0.336025556898316
BS_P3,2,2017,1418,0,0.096946110300694
BS_SIL,2,2017,1418,137,85.3224453292211
BS_SIL3,2,2017,1418,0,17.3023505371992
HN_BR,2,2017,1418,3,47.6126395995771
HN_G,2,2017,1418,1,1.67942520052609
HN_P,2,2017,1418,0,0.271380874476196
