metal,obs_purchase,pred_purchase,e_y1,e_y0,att,se,ci_lo,ci_hi
BR,157213,217582.82553454785,0.2288442139370905,0.3167204409028815,-0.08787622696579098,0.0010550230239655277,-0.08994407209276341,-0.08580838183881855
G,37176,59347.956403209406,0.054114561119788296,0.08638876194630962,-0.032274200826521326,4.824113166959958e-4,-0.03321972700724548,-0.031328674645797173
P,18422,16630.684504653564,0.02681564571090865,0.024208150233779625,0.002607495477129025,2.688186678631067e-4,0.002080610888117336,0.0031343800661407144
SIL,474176,393425.5335575892,0.6902255792322125,0.5726826469170293,0.1175429323151832,0.0010891025991166124,0.11540829122091464,0.11967757340945176
