insurer_abbr,obs_purchase,pred_purchase,e_y1,e_y0,att,se,ci_lo,ci_hi
ANT,121864,118333.82166707265,0.17738909178776308,0.17225045258072227,0.005138639207040802,8.33005791055255e-4,0.003505947856572502,0.006771330557509101
BS,200767,164327.9766462438,0.2922427935317553,0.23920099892173186,0.05304179461002345,8.384386540892841e-4,0.05139845484800845,0.05468513437203845
HN,108275,88155.26980815858,0.15760851369822138,0.12832159823716982,0.029286915461051555,6.306253190057132e-4,0.028050889835800355,0.030522941086302754
KA,158898,237204.29255635614,0.23129695321745536,0.3452820687383548,-0.11398511552089946,9.095659244012409e-4,-0.11576786473272589,-0.11220236630907303
Small,97183,78965.63932216886,0.14146264776480486,0.11494488152202133,0.026517766242783528,7.466966684982987e-4,0.02505424077252686,0.027981291713040195
