"param","equation","estimate","se","z","p_value"
"(Intercept)","claims",5.43457128814135,0.00231066065675133,2351.95560726865,0
"log_risk_score","claims",1.30784457192129,0.00628496637942154,208.090941616407,0
"HMO","claims",-0.200070454149071,0.0182330154500162,-10.9729767244229,5.15469068483449e-28
"year_2015","claims",0.0705413227430297,0.00694570245899982,10.1561106539521,3.11245881401536e-24
"year_2016","claims",0.211709217547706,0.00725553008458743,29.1790145005986,3.58069375566448e-187
"year_2017","claims",0.295285090561361,0.0083919500249183,35.1867074618615,3.19345499477558e-271
"year_2018","claims",0.457497868839965,0.00922571865080609,49.5894017752201,0
"Anthem","claims",-0.0380069034148988,0.021143275071187,-1.79758827745152,0.0722422773778889
"Blue_Shield","claims",0.0919857806765437,0.0282763562595975,3.25309880212455,0.00114153797912736
"Kaiser","claims",0.540526917088868,0.0405580320696296,13.3272471445581,1.60719517858458e-40
"Health_Net","claims",0.0706234165128166,0.0206428316315864,3.42120779616073,0.000623436785423083
"share_ra2","claims",0.184071066358676,0.0839049193883734,2.19380541332339,0.028249401497491
"share_ra3","claims",0.149583913304752,0.0844103248779462,1.7721044614038,0.076377218510405
"share_ra4","claims",0.19616745021576,0.0275797581041003,7.11273280481006,1.13767402953789e-12
"share_ra5","claims",-0.276188734041508,0.262252818513438,-1.0531392402456,0.292277180691265
"share_ra6","claims",-3.41964680269681,0.250810385365846,-13.6343907677855,2.50070470572883e-42
"share_ra7","claims",0.0572902945388931,0.0193925177241417,2.95424737281908,0.00313432654254162
"share_ra8","claims",-0.121248068144253,0.185983433689798,-0.651929398972613,0.514446718468668
"share_ra9","claims",-0.0158586182556497,0.0643342287892482,-0.246503588433473,0.805292426961959
"share_ra10","claims",0.354788075473732,0.0741730299588206,4.78324905522538,1.7248419140982e-06
"share_ra11","claims",1.87541885416075,0.456034619213466,4.11244843076898,3.9148493693907e-05
"share_ra12","claims",-0.141424552544436,0.112807006585434,-1.25368589084338,0.209956198221412
"share_ra13","claims",-0.0301432232468753,0.0370518244791204,-0.813542212040373,0.415907254678402
"share_ra14","claims",-4.80178744340499,0.610671880378076,-7.8631219116101,3.74676038177105e-15
"share_ra15","claims",-0.229303746533031,0.0611581737420936,-3.74935568710757,0.000177289483611359
"share_ra16","claims",-0.285250947839195,0.0293398074660667,-9.72231832704103,2.42203136889416e-22
"share_ra17","claims",-0.141063363794209,0.0276588950482211,-5.10010842979362,3.39458959360846e-07
"share_ra18","claims",-0.488132174358778,0.0769257004460019,-6.34550184825971,2.21701535725964e-10
"share_ra19","claims",-0.0316204636122587,0.0185975725049545,-1.7002468254303,0.0890845078487545
"wedge_ANT","commission",0.588529204904772,0.107432173588551,5.4781466784685,4.29803786955522e-08
"wedge_BS","commission",0.153593227756763,0.124530277165116,1.23338059830311,0.217433800102895
"wedge_CC","commission",-0.631712468433648,0.152449664513427,-4.14374456283577,3.41680318634997e-05
"wedge_HN","commission",0.328368641837228,0.116964447643768,2.80742266947065,0.00499396685343601
"wedge_KA","commission",2.67900082185955,0.167626670102246,15.9819485779051,1.70724579113048e-57
"wedge_LA","commission",-1.39365332199028,0.0779871993748316,-17.8702829844156,2.00972293103991e-71
"wedge_MOL","commission",-0.858531454164926,0.00857812183025767,-100.083849489829,0
"wedge_OSC","commission",0.253876191391969,0.202603826628135,1.253067109428,0.210181284641073
"wedge_SH","commission",-0.220829991790449,0.0435559826054503,-5.0700266319515,3.97760039334357e-07
"wedge_VAL","commission",-0.23636465529368,0.668384423425962,-0.353635792531097,0.723611846921087
"wedge_WEST","commission",0.567052052695049,0.305202372803904,1.85795427304684,0.063175508167411
