"term","body","with_lag"
"premium",-0.41459538430005,-0.617710762895252
"av",4.39168672061817,7.15374219531286
"assisted_av",1.18496144828225,2.98591630241064
"broker_av",0.729078698138726,1.39679262359946
"assisted_premium",-0.0975802042172901,-0.310190289482802
"broker_premium",-0.0213644238468196,-0.101167732685701
"commission_broker",0.0273026404259825,0.0514454487878482
"commission_broker_sq",-0.0658069709689068,-0.107126008342034
"previous_choice",NA,3.43951123189921
"lambda",0.373634520350151,0.710703640693693
