Channel,ATT_all_enrollees,ATT_new_enrollees
Any Assistance,-0.0155740226933926,-0.0225959883438371
Agent,-0.0183404985087763,-0.0252324987212667
Navigator,-0.00896876887420835,-0.0180137194024472
