"term","col1","col2","col3","col4"
"premium",-0.365764818293357,-0.266504198880752,-0.682002770768562,-0.675675648367581
"silver",0.697690148939189,0.874994799715166,0.482968364179333,0.482166121285443
"bronze",-0.101001470572878,-0.357593757831264,-1.67733519486919,-1.64845972918501
"hmo",-0.165568150021394,-0.251541368690876,-0.497377303841242,-0.49111640206074
"hsa",-0.420009946974284,-0.507606695965275,-0.747625361276635,-0.743519522080824
"Anthem",0.198400433832806,0.237494647899713,0.184763958044758,0.164297540424318
"Blue_Shield",0.262983044855106,0.314556517448011,0.336209312206926,0.317651261545108
"Kaiser",0.385941768314331,0.487625488295182,0.713744116036925,0.709520050588245
"Health_Net",0.160733637460689,0.184573415086272,0.154169210187533,0.129902901420396
"hh_size_prem",NA,0.000784600317328922,-0.028342116316715,-0.0275555153355831
"perc_0to17_prem",NA,0.14763452583776,0.24236503168502,0.247651940711013
"perc_18to34_prem",NA,-0.326363621139384,-0.361368396258697,-0.35491381288637
"perc_35to54_prem",NA,-0.236430888406911,-0.273806507930096,-0.270907307022653
"perc_male_prem",NA,-0.0315068802011512,-0.024158496212177,-0.0243110303226918
"perc_black_prem",NA,-0.127130435723842,-0.177558368916052,-0.17923346692395
"perc_hispanic_prem",NA,-0.226688383939517,-0.357094665053829,-0.358303232710295
"perc_asian_prem",NA,-0.188118158983294,-0.303763380758632,-0.304120707509569
"perc_other_prem",NA,-0.0938683423152506,-0.226607910490982,-0.226148356070926
"FPL_250to400_prem",NA,0.0206113372788475,0.0939571493939477,0.0926796497914215
"FPL_400plus_prem",NA,0.235819587558095,0.519003607460193,0.512342799570814
"perc_0to17_silver",NA,-0.699225884972532,-1.02250516894334,-1.00987892035258
"perc_0to17_bronze",NA,0.753077068941122,1.09307758016479,1.08535003220702
"perc_18to34_silver",NA,0.0158942732655649,0.275886788519636,0.273688007230349
"perc_18to34_bronze",NA,0.209503850225564,0.615675933963159,0.609659996756472
"perc_35to54_silver",NA,-0.0571684440968458,0.0503312174911444,0.0491412036782503
"perc_35to54_bronze",NA,-0.125386706388553,0.00866613172858739,0.0068797248940056
"perc_male_silver",NA,-0.0930704628244483,-0.10799528902985,-0.106992448927758
"perc_male_bronze",NA,0.044125292549637,0.105448813849545,0.104184242107261
"assisted_silver",NA,NA,1.38141981737896,1.37128316092551
"assisted_bronze",NA,NA,1.81220723920019,1.79968568204432
"broker_silver",NA,NA,1.42675836258229,1.41499342294903
"broker_bronze",NA,NA,1.92592639915188,1.91257410702291
"assisted_premium",NA,NA,0.461848849898276,0.465069687941822
"broker_premium",NA,NA,0.487066287425902,0.490131684735344
"commission_broker",NA,NA,0.0206425824386221,0.0212599367499365
"cf_resid",NA,NA,NA,-0.000402791608447395
"lambda",0.375931864084655,0.448984418525421,0.673856236211299,0.668036487707319
