plan_name,tot_nonmiss,obs_purchase,pred_purchase,region,year
BS_SIL3,1674,0,2.078625330680926,1,2019
KA_BR,1674,3,0.14826458324881164,1,2019
KA_BR_HSA,1674,1,0.07076951484830198,1,2019
KA_G,1674,1,15.404673101313652,1,2019
KA_G_COIN,1674,4,12.705292719991206,1,2019
KA_P,1674,2,21.00311887919805,1,2019
KA_SIL,1674,9,2.849294522974176,1,2019
Uninsured,1674,434,3.4590071822869652,1,2019
ANT_BR,1417,71,3.2749178550581597,2,2014
ANT_BR_HSA,1417,8,1.6748596441307404,2,2014
ANT_G,1417,14,243.3553615421478,2,2014
ANT_P,1417,7,561.2411221959164,2,2014
ANT_SIL,1417,183,54.39752749853525,2,2014
BS_BR,1417,9,0.13573671278228913,2,2014
BS_BR_HSA,1417,6,0.06617743330061136,2,2014
BS_G,1417,11,32.430814011816096,2,2014
BS_P,1417,1,64.14590446768528,2,2014
BS_SIL,1417,114,4.483176006939331,2,2014
HN_BR,1417,8,0.0020462470080936956,2,2014
HN_G,1417,2,2.0331469112995486,2,2014
HN_P,1417,2,11.619583436741612,2,2014
HN_SIL,1417,23,0.2773243859022944,2,2014
KA_BR,1417,86,0.8611874691375698,2,2014
KA_G,1417,18,155.60633985059246,2,2014
KA_P,1417,21,245.0207626835651,2,2014
KA_SIL,1417,214,16.20053296781009,2,2014
Small_BR,1417,17,0.05934342581875121,2,2014
Small_G,1417,0,3.330614182681508,2,2014
Small_P,1417,4,5.318934021123382,2,2014
Small_SIL,1417,13,1.0054847529025357,2,2014
Uninsured,1417,585,10.45910229710511,2,2014
ANT_BR,1621,87,4.032424172271051,2,2015
ANT_BR_HSA,1621,12,2.06249208556678,2,2015
ANT_G,1621,9,291.9306998208379,2,2015
ANT_P,1621,11,806.5716221000629,2,2015
ANT_SIL,1621,140,64.1961549765377,2,2015
BS_BR,1621,36,0.16641416058122177,2,2015
BS_BR_HSA,1621,9,0.08120736628025649,2,2015
BS_G,1621,17,33.818564848565984,2,2015
BS_P,1621,3,64.43276920031252,2,2015
BS_SIL,1621,202,5.228956793199167,2,2015
HN_BR,1621,0,0.0029000374201321945,2,2015
HN_G,1621,0,2.218381101427464,2,2015
HN_P,1621,1,12.214650874867772,2,2015
HN_SIL,1621,4,0.3467077002831728,2,2015
KA_BR,1621,146,0.9822699223123663,2,2015
KA_G,1621,21,123.98538293609408,2,2015
KA_P,1621,23,173.98517748839072,2,2015
KA_SIL,1621,340,15.970107418709462,2,2015
Small_BR,1621,53,0.07200147399906523,2,2015
Small_G,1621,2,2.692161447235482,2,2015
Small_P,1621,0,3.9069903508844046,2,2015
Small_SIL,1621,37,0.9035412990983456,2,2015
Uninsured,1621,468,11.198422425062013,2,2015
ANT_BR,1676,56,3.6416531757104713,2,2016
ANT_BR_HSA,1676,32,1.6199163622971848,2,2016
ANT_G,1676,4,286.40497472985413,2,2016
ANT_P,1676,8,771.5828176754759,2,2016
ANT_SIL,1676,108,58.1034144968041,2,2016
BS_BR,1676,25,0.17365913710706787,2,2016
BS_BR_HSA,1676,6,0.0894474358005289,2,2016
BS_G,1676,13,44.63853271938009,2,2016
BS_P,1676,1,247.93987978166615,2,2016
BS_SIL,1676,205,5.089382473809986,2,2016
HN_BR,1676,2,0.002355873014322855,2,2016
HN_G,1676,1,1.1600590747520776,2,2016
HN_P,1676,1,3.239289290228667,2,2016
HN_SIL,1676,7,0.19681903108580814,2,2016
KA_BR,1676,147,0.8999592376748362,2,2016
KA_BR_HSA,1676,47,0.4329051860715068,2,2016
KA_G,1676,29,92.03409999075299,2,2016
KA_P,1676,33,129.36769243889063,2,2016
KA_SIL,1676,400,13.749186386463949,2,2016
Small_BR,1676,46,0.06488384135006427,2,2016
Small_G,1676,9,1.9988404376198428,2,2016
Small_P,1676,4,2.716935290908553,2,2016
Small_SIL,1676,63,0.7258788307943725,2,2016
Uninsured,1676,429,10.127417102486689,2,2016
ANT_BR,1620,27,1.7309493381982508,2,2017
ANT_BR_HSA,1620,13,0.8357871628107312,2,2017
ANT_G,1620,1,230.48842750933213,2,2017
ANT_P,1620,1,990.4778570603387,2,2017
ANT_SIL,1620,32,37.61239091867974,2,2017
BS_BR,1620,14,0.07648132541815188,2,2017
BS_BR_HSA,1620,14,0.03575306670429508,2,2017
BS_G,1620,14,19.956702998800136,2,2017
BS_G3,1620,0,19.6274166710338,2,2017
BS_P,1620,2,91.7413796548694,2,2017
BS_P3,1620,0,113.97234160949553,2,2017
BS_SIL,1620,173,2.3829879414626216,2,2017
BS_SIL3,1620,0,2.1624542377313016,2,2017
HN_BR,1620,1,0.0010722773547381806,2,2017
HN_G,1620,0,0.6529305025292917,2,2017
HN_P,1620,1,1.974712704069942,2,2017
HN_SIL,1620,3,0.10403879554243527,2,2017
KA_BR,1620,158,0.2957583141080498,2,2017
KA_BR_HSA,1620,46,0.15148922525789912,2,2017
KA_G,1620,28,28.606183044400524,2,2017
KA_G_COIN,1620,14,24.888899799227847,2,2017
KA_P,1620,18,40.1190866904368,2,2017
KA_SIL,1620,433,4.848304619786676,2,2017
Small_BR,1620,82,0.022818771093566358,2,2017
Small_G,1620,4,0.6795280814029135,2,2017
Small_P,1620,6,0.8823349481000102,2,2017
Small_SIL,1620,161,0.2524066831970985,2,2017
Uninsured,1620,374,5.419506048617366,2,2017
BS_BR,1605,39,0.15174788761744154,2,2018
BS_BR_HSA,1605,22,0.07346836736049502,2,2018
BS_G,1605,11,57.73687203831165,2,2018
BS_G3,1605,0,52.765035135500405,2,2018
BS_P,1605,1,440.7590765196682,2,2018
BS_P3,1605,0,872.2379282337681,2,2018
BS_SIL,1605,124,8.319584138901876,2,2018
BS_SIL3,1605,0,6.138163831706474,2,2018
HN_BR,1605,5,0.0021243793948194107,2,2018
HN_G,1605,0,1.360474508906709,2,2018
HN_P,1605,2,3.578047298170178,2,2018
HN_SIL,1605,0,0.34757541489308763,2,2018
KA_BR,1605,223,0.5014072462500513,2,2018
KA_BR_HSA,1605,52,0.2520417742129116,2,2018
KA_G,1605,77,43.619813962622224,2,2018
KA_G_COIN,1605,102,37.763976234764385,2,2018
KA_P,1605,36,58.25380799424555,2,2018
KA_SIL,1605,331,10.912450190801636,2,2018
Small_BR,1605,92,0.04277843710882725,2,2018
Small_G,1605,22,1.3343436647506097,2,2018
Small_P,1605,5,1.748347640518367,2,2018
Small_SIL,1605,84,0.7639815541193786,2,2018
Uninsured,1605,377,6.336953546406517,2,2018
BS_BR,1416,24,0.11256424324131813,2,2019
BS_BR_HSA,1416,8,0.0551441540721,2,2019
BS_G,1416,11,49.54215876723181,2,2019
BS_G3,1416,0,35.4655117599563,2,2019
BS_P,1416,4,495.1410998301283,2,2019
BS_P3,1416,0,692.3921944451018,2,2019
BS_SIL,1416,73,6.583494500020773,2,2019
BS_SIL3,1416,1,4.043958235855557,2,2019
HN_BR,1416,2,0.0015043856969797595,2,2019
HN_G,1416,0,1.3104368213497202,2,2019
HN_P,1416,0,4.124708656588778,2,2019
HN_SIL,1416,0,0.298531462515984,2,2019
KA_BR,1416,147,0.3453363038275155,2,2019
KA_BR_HSA,1416,39,0.16512057892335438,2,2019
KA_G,1416,63,35.30748803208426,2,2019
KA_G_COIN,1416,79,29.336662160177468,2,2019
KA_P,1416,33,47.537392766752205,2,2019
KA_SIL,1416,352,6.493963792624782,2,2019
Small_BR,1416,81,0.025772974230729228,2,2019
Small_G,1416,27,0.9047965974269471,2,2019
Small_P,1416,12,1.19576604524947,2,2019
Small_SIL,1416,63,0.49323265804211425,2,2019
Uninsured,1416,397,5.123160828901713,2,2019
ANT_BR,2159,145,2.2555960497109346,3,2014
ANT_BR_HSA,2159,19,1.1511796147812177,3,2014
ANT_G,2159,5,118.74889104959637,3,2014
ANT_G3,2159,0,383.22434943459064,3,2014
ANT_P,2159,7,191.88223429629133,3,2014
ANT_P3,2159,0,1156.3794957468015,3,2014
ANT_SIL,2159,258,32.676971164621186,3,2014
