spec,term,estimate,std_error,log_lik,n_hh
attrs,premium,-1.20037524042379,0.00226480946624753,-2603785.62439027,1067827
attrs,silver,1.34108029211907,0.00546570465048921,-2603785.62439027,1067827
attrs,bronze,-0.57840987528955,0.00693872776409878,-2603785.62439027,1067827
attrs,hmo,-0.596541546255608,0.00344045536977345,-2603785.62439027,1067827
attrs,hsa,-0.816876598898896,0.00431017163568043,-2603785.62439027,1067827
attrs,Anthem,0.664483959831555,0.00421244782750769,-2603785.62439027,1067827
attrs,Blue_Shield,0.810521767807447,0.00395196606413979,-2603785.62439027,1067827
attrs,Kaiser,1.30764919032643,0.0053119034177464,-2603785.62439027,1067827
attrs,Health_Net,0.523237069381161,0.00450939903378214,-2603785.62439027,1067827
attrs,assisted_silver,0.294155578178629,0.00935073527297656,-2603785.62439027,1067827
attrs,assisted_bronze,-0.283621907448461,0.0105111166777994,-2603785.62439027,1067827
attrs,broker_silver,0.609346612603515,0.0076820605987367,-2603785.62439027,1067827
attrs,broker_bronze,0.0720515819246931,0.0084386702832312,-2603785.62439027,1067827
full,premium,-0.745963471570331,0.00452744535115043,-2544116.76805843,1067827
full,silver,1.08216993300445,0.00569181798114729,-2544116.76805843,1067827
full,bronze,-1.17384679528604,0.00739956921825297,-2544116.76805843,1067827
full,hmo,-0.757641424653436,0.00357881452792892,-2544116.76805843,1067827
full,hsa,-0.841281865685052,0.00427454190325634,-2544116.76805843,1067827
full,Anthem,0.918780558879046,0.00436031514216105,-2544116.76805843,1067827
full,Blue_Shield,1.07404924238551,0.00408871768039455,-2544116.76805843,1067827
full,Kaiser,1.62362510123147,0.00556825041601186,-2544116.76805843,1067827
full,Health_Net,0.743933893315099,0.0046536697256924,-2544116.76805843,1067827
full,hh_size_prem,-0.00652686378620208,0.00265933821031385,-2544116.76805843,1067827
full,perc_0to17_prem,-1.03031639898199,0.0218335912369673,-2544116.76805843,1067827
full,perc_18to34_prem,-1.3368380048157,0.00506953865988682,-2544116.76805843,1067827
full,perc_35to54_prem,-0.554420510295847,0.00362162337251465,-2544116.76805843,1067827
full,perc_male_prem,-0.178051873878072,0.00338755341092016,-2544116.76805843,1067827
full,perc_black_prem,-0.36414387847612,0.0100773872927376,-2544116.76805843,1067827
full,perc_hispanic_prem,-0.582019420895844,0.00446625775461588,-2544116.76805843,1067827
full,perc_asian_prem,-0.484153902759672,0.00476261649476991,-2544116.76805843,1067827
full,perc_other_prem,-0.166825430583127,0.00364212674544408,-2544116.76805843,1067827
full,FPL_250to400_prem,0.098699152708841,0.0032665344155754,-2544116.76805843,1067827
full,FPL_400plus_prem,0.194301104024953,0.00612595166548092,-2544116.76805843,1067827
full,assisted_silver,0.282071106505553,0.0094756169775264,-2544116.76805843,1067827
full,assisted_bronze,-0.311308732354557,0.0106374489894989,-2544116.76805843,1067827
full,broker_silver,0.615722787055541,0.00782015574065157,-2544116.76805843,1067827
full,broker_bronze,0.0909059238071167,0.00862477314179233,-2544116.76805843,1067827
full_cf,premium,-0.662707241780299,0.00460261186818227,-2531862.65099282,1067827
full_cf,silver,0.179600190672023,0.0162399316884189,-2531862.65099282,1067827
full_cf,bronze,-0.647935210877539,0.0216755717942577,-2531862.65099282,1067827
full_cf,hmo,-0.776472717637445,0.00357336401254567,-2531862.65099282,1067827
full_cf,hsa,-0.837130242722092,0.00421510244153767,-2531862.65099282,1067827
full_cf,Anthem,0.909174230622369,0.00434475317513616,-2531862.65099282,1067827
full_cf,Blue_Shield,1.07714655347032,0.00407776457096675,-2531862.65099282,1067827
full_cf,Kaiser,1.54607709907313,0.00558566668673694,-2531862.65099282,1067827
full_cf,Health_Net,0.748193703767621,0.00462622606691236,-2531862.65099282,1067827
full_cf,hh_size_prem,-0.0488760680203596,0.00274046503257108,-2531862.65099282,1067827
full_cf,perc_0to17_prem,-0.900627282392734,0.0215695304570741,-2531862.65099282,1067827
full_cf,perc_18to34_prem,-1.18088057072068,0.00540754437473387,-2531862.65099282,1067827
full_cf,perc_35to54_prem,-0.519575883284862,0.0036233561008049,-2531862.65099282,1067827
full_cf,perc_male_prem,-0.158652622741315,0.00333751407292699,-2531862.65099282,1067827
full_cf,perc_black_prem,-0.373189435284909,0.00979691643353542,-2531862.65099282,1067827
full_cf,perc_hispanic_prem,-0.654167149520708,0.00462578898863381,-2531862.65099282,1067827
full_cf,perc_asian_prem,-0.593664871059438,0.00511713012660436,-2531862.65099282,1067827
full_cf,perc_other_prem,-0.310043189792168,0.00432017101906064,-2531862.65099282,1067827
full_cf,FPL_250to400_prem,0.129288533385727,0.00326148741875455,-2531862.65099282,1067827
full_cf,FPL_400plus_prem,0.275950083712739,0.00597636865436526,-2531862.65099282,1067827
full_cf,assisted_silver,1.67489042883366,0.0267727658038131,-2531862.65099282,1067827
full_cf,assisted_bronze,-1.08960530264731,0.0347900433723606,-2531862.65099282,1067827
full_cf,broker_silver,1.92866605424621,0.0252008507680109,-2531862.65099282,1067827
full_cf,broker_bronze,-0.689367864509532,0.0331942649713504,-2531862.65099282,1067827
full_cf,cf_anthem,-0.11704048999624,0.00850332756221481,-2531862.65099282,1067827
full_cf,cf_blue_shield,-0.022323791738212,0.00792980470115796,-2531862.65099282,1067827
full_cf,cf_kaiser,-0.537408077093695,0.00774293529169129,-2531862.65099282,1067827
full_cf,cf_health_net,-0.0459602597609481,0.00867958149062858,-2531862.65099282,1067827
full_cf,cf_silver,-1.40964040387293,0.0263272228332084,-2531862.65099282,1067827
full_cf,cf_bronze,0.760071398569583,0.0343017307274435,-2531862.65099282,1067827
