year,firm,k_base,phi_base,eta_obs,eta_base,converged
2014,ANT,0.9323475062664252,-7.024337367671496e-4,16.500000000000004,15.383733853396016,TRUE
2014,BS,0.9001297239701046,-5.273254391517657e-4,14.69817883706262,13.079955376095617,TRUE
2014,HN,0.703500446129289,-0.00426009031035073,19.75022393845626,13.894291351857644,TRUE
2014,KA,1.141400653229156,0.00187165946494083,6.25,7.133754082682225,TRUE
2015,ANT,0.8924028828577006,-0.0016592500853283,16.5,14.72464756715206,TRUE
2015,BS,0.8308743436682086,-0.00491090571234451,15.984373205570709,13.198789765045422,TRUE
2015,HN.HMO,0.6806468204173504,-0.02063898689317694,17.774951357102236,12.103551570505436,TRUE
2015,HN.PPO,1.1196384998826745,0.00191981077700237,10.47056496739862,12.730950392909444,TRUE
2015,KA,1.0623587876072205,0.00720535070354522,6.25,6.639742422545128,TRUE
2015,MOL,1.0791939539851505,6.423078520190195e-5,18.580063954993847,20.051492684887265,TRUE
2016,ANT,1.0307351529068272,-0.0044619898912892,14.000000000000002,14.43029214069558,TRUE
2016,BS,0.8365940852907933,2.4542751667436247e-4,13.925016392052637,11.70154243732885,TRUE
2016,HN.HMO,0.5418419344980028,0.00368921034818464,19.82121400614073,11.085694285146689,TRUE
2016,HN.PPO,1.0973403027112745,0.00480926969999567,10.873224354275086,12.325668063798345,TRUE
2016,KA,1.2273231139752228,0.00937004653591833,6.250000000000001,7.670769462345144,TRUE
2016,LA,0.9357549611219728,0.00243136897267315,25.304666853742685,23.678967547928465,TRUE
2016,MOL,0.8062947305232386,-7.328021945407492e-5,24.85747947274932,20.042454712967107,TRUE
2017,ANT,1.3699473779765652,-0.00299611385489217,10.5,14.38444746875394,TRUE
2017,BS,1.0218839186303057,2.9759382833552395e-4,10.870320775342435,11.40081742621327,TRUE
2017,HN.HMO,0.4956051528009095,0.02134386499294932,21.666604069292795,11.318757989352862,TRUE
2017,HN.PPO,0.9568794815788833,6.611717520703109e-4,12.732748067692464,12.672013309174554,TRUE
2017,KA,1.4471047104459918,-0.03730485743178935,6.249999999999999,9.04440444028745,TRUE
2017,LA,0.6922091361427635,0.00119772459480427,34.06321116480172,23.57886597463705,TRUE
2017,MOL,0.9413724339369968,9.516593326797108e-5,21.331104799053247,20.080514043249625,TRUE
2017,OSC,0.9479052078791248,0.00605054486001682,12.499999999999998,11.84881509848906,TRUE
2018,ANT,1.7724338418496453,8.378623321656509e-4,9,15.95190457664681,TRUE
2018,BS.HMO,0.849774732325087,4.830507425304664e-5,11.681214342008271,10.288746444572856,TRUE
2018,BS.PPO,1.695487970427571,-1.893993110366199e-5,6.607910555277676,11.690579491633851,TRUE
2018,HN,1.2518721416014889,-2.7997216835956573e-4,11.81580860372016,14.791881621492523,TRUE
2018,KA,1.7005408437855405,-9.831187470341618e-4,6.250000000000003,10.628380273659626,TRUE
2018,LA,0.6512083084386054,0.02519049632271075,36.16442176536624,23.550571923484434,TRUE
2018,MOL,0.98352958823441,3.780538991537963e-5,20.450572844791004,20.11374348919474,TRUE
2018,OSC,1.0901221053943713,6.762765002404914e-5,12.499999999999998,13.626526317429644,TRUE
