channel,enrolled,off_eligible,off_ineligible,off_not_in_panel
Agent,0.6916859973853708,0.07866655905235635,0.20158651393406032,0.028060929628212487
Navigator,0.6691629480984694,0.09047012383492198,0.21340620846865402,0.02696071959795457
Unassisted,0.6362458976089093,0.08458249996828632,0.2538658976451535,0.025305704777650855
