region,year,scenario,tau,plan_id,premium_obs,premium_cf,premium_change,share_obs,share_cf,mc,commission_pmpm,markup_cf,cs_weighted,nleqslv_termcd,nleqslv_iter
1,2014,observed,NA,ANT_BR,233.61,24.613747703094997,-208.99625229690503,0.0640502996776574,0.07893377589016456,-23.04949372006996,16.5,47.66324142316496,-5.67292245030493,4,100
1,2014,observed,NA,ANT_BR_HSA,235.19,24.60232119452082,-210.5876788054792,0.02821139326088495,0.03508769866102513,-23.052264142787294,16.5,47.65458533730811,-5.67292245030493,4,100
1,2014,observed,NA,ANT_G,375.66,847.8868900581126,472.2268900581126,0.02678313033882387,1.7890082674871247e-4,881.2630020873744,16.5,-33.376112029261776,-5.67292245030493,4,100
1,2014,observed,NA,ANT_P,435.62,809.1509387927616,373.5309387927616,0.01183989824037891,2.3152205953656682e-4,896.8844502776128,16.5,-87.73351148485119,-5.67292245030493,4,100
1,2014,observed,NA,ANT_SIL,312.48,403.0575028345549,90.57750283455488,0.14309933749243395,0.03576886272512355,412.3836238683071,16.5,-9.326121033752202,-5.67292245030493,4,100
1,2014,observed,NA,BS_BR,265.65,26.530309275298272,-239.1196907247017,0.06449284271751243,0.09889335903572452,-30.689001300224618,9.961875000000468,57.21931057552289,-5.67292245030493,4,100
1,2014,observed,NA,BS_BR_HSA,261.29,26.3708858733626,-234.91911412663742,0.02962451094892621,0.04389446461093001,-30.65332690429213,9.798375000000055,57.024212777654725,-5.67292245030493,4,100
1,2014,observed,NA,BS_G,378.69,1049.9574813057066,671.2674813057065,0.0337716421925727,1.0819085849535357e-4,1093.783267074362,14.200874999999701,-43.82578576865535,-5.67292245030493,4,100
1,2014,observed,NA,BS_P,433.92,1060.9920863211787,627.0720863211786,0.01649435375867954,1.066087147901498e-4,1307.1960528975644,16.272000000000595,-246.2039665763857,-5.67292245030493,4,100
1,2014,observed,NA,BS_SIL,321.59,160.47342480522298,-161.116575194777,0.1493087167174965,0.37343838251825273,296.8372255736988,12.059624999999894,-136.3638007684758,-5.67292245030493,4,100
1,2014,observed,NA,KA_BR,257.35,-16.00906909582811,-273.35906909582815,0.05927405144975062,0.08827123530638435,-40.73363092150532,6.25,24.724561825677213,-5.67292245030493,4,100
1,2014,observed,NA,KA_G,425.63,830.0579330287429,404.4279330287429,0.01444628305487401,2.2549897233353427e-4,853.950021032252,6.25,-23.892088003509116,-5.67292245030493,4,100
1,2014,observed,NA,KA_P,457.77,788.3510266906671,330.58102669066716,0.00944272347125443,3.013110318419709e-4,835.6006854566876,6.25,-47.2496587660205,-5.67292245030493,4,100
