region,year,plan_id,issuer,metal,share,posted_premium,realized_premium,markup,mc_foc,mc_structural,ra_factor_static,ra_transfer,predicted_claims,predicted_risk_score,lerner_index,commission_pmpm,admin_pmpm,base_premium,region_factor
1,2014,ANT_BR,Anthem,Bronze,0.06232540511880848,233.61,320.75164423442044,-5.665194128171464,152.86247607422376,291.43482837281834,0.6,-136.32346200770246,184.62262117142393,0.838926521814121,-0.017662245011068667,16.5,34.98200998977356,238.78090289596372,0.9783445709717554
1,2014,ANT_BR_HSA,Anthem,Bronze,0.06114440458429571,235.19,322.8584514006898,-52.87267267946376,160.9649486057888,340.74911409038,0.6,-136.0360399367189,204.71307415366107,0.8398036237709545,-0.16376425164055905,16.5,34.98200998977356,240.40339230241494,0.9783139819597189
1,2014,ANT_G,Anthem,Gold,0.035358943456296206,375.66,509.1311109047372,161.73372765796515,342.16448314877096,312.4153732569985,0.8640000000000001,101.64173991601285,484.50005181102523,2.193655173897542,0.31766616534306996,16.5,34.98200998977356,377.1074338153343,0.9961617467980145
1,2014,ANT_P,Anthem,Platinum,0.029973144908497652,435.62,575.9721404120056,490.37993587005076,174.01283897185562,50.61019455218127,1.035,908.4200401846573,1044.5664999151381,5.1425938773090625,0.8513952350529856,16.5,34.98200998977356,433.7489819674643,1.0043135963663796
1,2014,ANT_SIL,Anthem,Silver,0.0970691628882671,312.48,443.4216852311226,90.48877498290838,306.26971057399385,317.95090025844064,0.721,14.030776486019793,351.3414791854367,1.7205461891128615,0.20406934977874017,16.5,34.98200998977356,315.6313919413501,0.9900155940701372
1,2014,BS_BR,Blue_Shield,Bronze,0.055182428767309555,265.65,366.50719627060175,64.21531184717111,215.78138207755325,261.32708434635424,0.6,-128.2247571530424,145.72747241100228,0.8778683399855665,0.17520887038670663,14.410964921869109,40.9648000770764,257.24004469860654,1.0326930253462165
1,2014,BS_BR_HSA,Blue_Shield,Bronze,0.05847057230697492,261.29,360.73173285046903,52.66457964837446,207.02759261086157,267.10235312501817,0.6,-128.96631321298977,138.1360399120284,0.8758385298223508,0.14599375339736206,14.693918327610886,40.9648000770764,253.07033243156326,1.0324797754421078
1,2014,BS_G,Blue_Shield,Gold,0.04452152322607614,378.69,511.28410105571203,265.42857219535546,298.18916781800624,204.8907287832802,0.8640000000000001,154.96112682154532,401.7866400561695,2.3833815910790492,0.5191410639354754,18.923311038976504,40.9648000770764,359.3709350564826,1.0537580061684204
1,2014,BS_P,Blue_Shield,Platinum,0.040884122883247456,433.92,568.4672667846413,724.1720734835426,90.81247082457173,-196.66960677597763,1.035,856.5910225209432,764.3167204455731,4.944785472831386,1.273902853861045,20.058331142411827,40.9648000770764,406.653361597191,1.067051304569856
1,2014,BS_SIL,Blue_Shield,Silver,0.10354910320117934,321.59,453.6805044672856,169.1654322162299,288.47188222056934,243.55027217397927,0.721,29.95338781753211,306.00243886230936,1.7723776185289501,0.3728734881717366,16.659116614259474,40.9648000770764,306.599014087917,1.048894436130784
